S.NO.,SERVICE CODE,DESCRIPTION OF ITEM,UNIT,RATE,DSR CODE,AAA,,,
1,3013498,"Making plinth protection 50 mm thick of cement concrete 1:2:4 (1 cement: 2 coarse sand : 4 graded stone aggregate 20 mm nominal size) over 75mm thick bed of dry brick ballast 40 mm nominal size, well rammed and consolidated and grouted with fine sand, including finishing the top smooth. (AR29)",SQM,1.00,,AAA,,,
2,3014009,"Providing and laying cement concrete in foundation and bases of columns excluding the cost of centring, shuttering C.C. 1:6:12 (1 cement : 6 C/sand : 12 graded brick aggregate 40 mm nominal size ) (AR-30)",CUM,1.00,,AAA,,,
3,3013770,"P/L CC of specified grade in foundation, yard etc. upto plinth 1:5:10 ( 1 cement 5 C/ sand and 10 graded brick agg. 40 mm nominal size) with proper compaction etc complete. (AR-31)",CUM,1.00,,AAA,,,
4,3300011,"Reinforced cement concrete work in  beams, suspended floors, roofs having slope upto 15°, landings, balconies, shelves, chajjas, lintels, bands, plain window sills, staircases and spiral stair cases upto floor five level excluding the cost of centring, shuttering, finishing and reinforcement with  1:2:4 (1 Cement : 2 coarse sand : 4 graded stone aggregate 20 mm nominal size) (AR36)",CUM,1.00,,AAA,,,
5,50000012,"Providing and laying in position ready mixed concrete manufactured in fully automatic batching plant and transported to site of work in transit mixer for all leads having continuous agitated mixer, manufactured as per mix design of specified grade for reinforced cement concrete work including pumping of R.M.C. from transit mixer to site of laying , excluding the cost of centering, shuttering finishing and reinforcement including cost of admixtures in recommended proportions as per IS : 9103 to accelerate retard setting of concrete, improve workability without impairing strength and durability as per direction of the Engineer - in - charge. M-20 grade Reinforced cement concrete by using 310kg of cement per cum of concrete. All works up to floor V level. (AR38)",CUM,1.00,,AAA,,,
6,1542001,"Providing and laying upto  floor  five level reinforced cement concrete in kerbs, steps and the like excluding the cost of centring,shuttering, finishing and reinforcement with  1:2:4 (1 Cement : 2 coarse sand : 4 graded stone aggregate 20 mm nominal size) (AR41)",CUM,1.00,,AAA,,,
7,3014015,Extra for providing & mixing the dark shade pigment in top layer of washed stone grit plaster. (AR-55),SQM,1.00,,AAA,,,
8,4000776,"Providing/fixing by welding (IRC fabric) welded mesh of size 25x75 mm of weight not less than 7.75 kg/ sqm to the frame of MS angles, tees, etc. including priming coat of approved brand. (AR85)",KG,1.00,,AAA,,,
9,4000774,"Providing and fixing M.S. Sheet of required thickness to M.S frames by welding. ( The cost includes the cost of M.S. sheet, cutting, straightening, labour, cartage, welding rods, hire charges of welding machine etc. complete) as per direction of Engineer-In-Charge. (AR87)",KG,1.00,,AAA,,,
10,X04,Repairing of wooden door of size upto 0.9x2.10m (AR115),EA,1.00,,AAA,,,
11,X05,Extra for providing M.S. window hinges of size 100x58x1.90 mm (AR116),EA,1.00,,AAA,,,
12,X06,"SINGLE LEAF DOORS WITH  FRAME WITH VISION PANEL : P/F OF SOLID SEMI CORE DOOR WITH CUT OUTS FOR VISION PANELS. ITEM IS COMPLETE WITH DOOR  FRAME MADE OF 19MM THK. APPROVED WATER PROOF BOARD & 30 MM THK. ""SHUTTERS,FINISHED WITH 1MM THK APPROVED LAMINATE ON BOTH FACES WITH """"ADHESIVE, WITH NECESSARY HARDWARE IN THE FORM OF FLOOR SPRING, "" ""HANDLES (25MM DIA X 450MM LONG) , LOCKS OF  APPROVED MAKE ETC. "" COMPLETE . (SIZE OF DOOR UPTO 1100MM X 2200MM) (AR117)",EA,1.00,,AAA,,,
13,X07,"SINGLE LEAF DOORS WITHOUT FRAME WITH VISION PANEL : P/F OF SOLID SEMI  CORE DOOR WITH CUT OUTS FOR VISION PANELS. ITEM IS COMPLETE WITHOUT ""DOOR FRAME , 30MM THK. SHUTTERS,FINISHED WITH 1MM THK APPROVED "" LAMINATE ON BOTH SIDE WITH ALL HARDWARE ( APPROVED MAKE) IN THE FORM "" OF FLOOR SPRING , HANDLES (25MM DIA - 450MM LONG), LOCKS ETC. "" COMPLETE. (SIZE OF DOOR UPTO 1100MM X 2200MM) (AR118)",EA,1.00,,AAA,,,
14,X08,"P/F OF SOLID SEMI CORE SINGLE LEAF DOORS WITHOUT FRAME WITHOUT VISION "" PANEL OF 30 MM THK. DOOR SHUTTERS, FINISHED WITH 1MM THK. APPROVED"" "" LAMINATE ON BOTH SIDE WITH ALL HARDWARE IN THE FORM OF HINGES,"" ""HANDLES (25MM DIA - 450MM LONG) ,LOCKS OF DORSET ,DOOR CLOSERS ETC. ""COMPLETE. (SIZE OF DOOR UPTO 900MM X 2200MM) (AR119)",EA,1.00,,AAA,,,
15,X09,"PROVIDING & FIXING FRAMELESS DOOR WITH 12MM THICK CLEAR FLOAT ""TOUGHENED GLASS. THIS INCLUDES PATCH FITTINGS, 40 MM DIA-450 MM LONG ""DOOR HANDLES, LOCK  AND FLOOR SPRING  OF OZONE MAKE  COMPLETE AS PER ARCHITECTURAL DRAWINGS & DIRECTION. (AR120)",EA,1.00,,AAA,,,
16,X10,"Providing and fixing ISI marked steel glazed doors, windows and ventilators of standard rolled steel sections, joints mitred and welded with 15x3 mm lugs, 10 cm long, embedded in cement concrete blocks 15x10x10 cm of 1:3:6 (1Cement : 3 Coarse Sand : 6 graded stone aggregate 20 mm nominal size) or with wooden plugs and screws or rawl plugs and screws or with fixing clips or with bolts and nuts as required, including providing and fixing of glass panes with glazing clips and special metal sash putty of approved make complete including applying a priming coat of approved steel primer excluding the cost of metal beading and other fittings except necessary hinges or pivots as required.  DOORS (AR128)",SQM,1.00,,AAA,,,
17,X11,"Providing and fixing ISI marked steel glazed doors, windows and ventilators of standard rolled steel sections, joints mitred and welded with 15x3mm lugs, 10cm long, embedded in cement concrete blocks 15x10x10 cm of 1:3:6 (1Cement : 3Coarse Sand : 6graded stone aggregate 20 mm nominal size) or with wooden plugs and screws or rawl plugs and screws or with fixing clips or with bolts and nuts as required, including providing and fixing of glass panes with glazing clips and special metal sash putty of approved make complete including applying a priming coat of approved steel primer excluding the cost of metal beading and other fittings except necessary hinges or pivots as required.  Window fixed (AR129)",Sqm,1.00,,AAA,,,
