S.NO.,SERVICE CODE,DESCRIPTION OF ITEM,UNIT,Rate,DSR CODE,,,,
1,4000544,"Earth work in surface excavation not exceeding 30 cm in depth but exceeding 1.5 m in width as well as 10 sqm on plan including disposal of excavated earth upto 50 m and lift upto 1.5 m, disposed soil to be levelled and neatly dressed : All kinds of  soil. (2.1.1-AR1)",SQM,1.00,2.1.1,,,,
2,4000542,"Earth work in excavation by mechanical means (hydraulic excavator)/ manual means over areas (exceeding 30 cm in depth. 1.5 m in width as well as 10 sqm on plan) including disposal of  excavated earth, lead upto 50 m and lift upto 1.5 m, disposed earth to be levelled and neatly dressed : All kinds of soil. (2.6.1-AR2)",SQM,1.00,2.6.1,,,,
3,3013486,"Earth work in excavation by mechanical means (Hydraulic excavator) / manual means over areas (exceeding 30 cm in depth, 1.5 m in width as well as 10 sqm on plan) including disposal of excavated earth, lead upto 50 m and lift upto 1.5 m, disposed earth to be levelled and neatly dressed : Ordinary rock. (2.7.1-AR3)",CUM,1.00,2.7.1,,,,
4,3013487,"Earth work in excavation by mechanical means (Hydraulic excavator)/ manual means over areas (exceeding 30 cm in depth, 1.5 m inwidth as well as 10 sqm on plan) including disposal of excavatedearth, lead upto 50 m and lift upto 1.5 m, disposed earth to be levelledand neatly dressed : Hard rock (blasting prohibited) (2.7.3-AR4)",CUM,1.00,2.7.3,,,,
5,4000152,"Earth work in excavation by mechanical means (hydraulic excavator)/ manual means in foundation trenches or drains (not exceeding 1.5 m in width or 10 sqm on plan) including dressing of sides and ramming of bottoms, lift upto 1.5 m, including getting out the excavated soil and disposal of surplus excavated soil. as directed, within a lead of 50 m. All kinds of soil. (2.8.1-AR5)",Cum,1.00,2.8.1,,,,
6,3013488,"Excavation work by mechanical means (Hydraulic excavator)/ manualmeans in foundation trenches or drains (not exceeding 1.5m in widthor 10 sqm on plan), including dressing of sides and ramming ofbottoms, lift upto 1.5 m, including getting out the excavated soil anddisposal of surplus excavated soils as directed, within a lead of 50 m : Ordinary rock. (2.9.1-AR6)",CUM,1.00,2.9.1,,,,
7,3013489,"Excavation work by mechanical means (Hydraulic excavator)/ manualmeans in foundation trenches or drains (not exceeding 1.5m in widthor 10 sqm on plan), including dressing of sides and ramming ofbottoms, lift upto 1.5 m, including getting out the excavated soil anddisposal of surplus excavated soils as directed, within a lead of 50 m : Hard rock (blasting prohibited). (2.9.3-AR7)",CUM,1.00,2.9.3,,,,
8,4000543,"Excavating trenches of required width for pipes, cables, etc  including excavation for sockets, and dressing of sides, ramming of bottoms, depth upto 1.5 m including getting out  the excavated soil, and then returning the soil as required, in  layers not exceeding 20 cm in depth, including consolidating Ea deposited layer by ramming , watering, etc. and disposing of surplus excavated soil as directed ,within a lead of 50 metre. All kinds of soil -Pipes, cables etc. exceeding 80 mm dia. but not exceeding 300 mm dia.(2.10.1.2-AR8)",Mtr,1.00,2.10.1.2,,,,
9,3013490,"Extra for excavating trenches for pipes, cables etc. in all kinds of soil for depth exceeding 1.5 m, but not exceeding 3 m. (Rate is over corresponding basic item for depth upto 1.5 metre).(2.11-AR9)",Mtr,1.00,2.11,,,,
10,3013491,"Close timbering over areas including strutting, shoring and packing cavities (wherever required) etc. complete. (Measurements to be takenof the face area timbered) : Depth not exceeding 1.5 m.(2.16.1-AR10)",SQM,1.00,2.16.1,,,,
11,3013492,"Close timbering over areas including strutting, shoring and packing cavities (wherever required) etc. complete. (Measurements to be takenof the face area timbered) : Depth exceeding 1.5 m but not exceeding 3 m. (2.16.2-AR11)",SQM,1.00,2.16.2,,,,
12,3013493,"Close timbering in case of shafts, wells, cesspits, manholes and the like including strutting, shoring and packing cavities (wherever required) etc. complete. (Measurements to be taken of the face area timbered). Depth not exceeding 1.5 m (2.17.1-AR12)",SQM,1.00,2.17.1,,,,
13,3013494,"Close timbering in case of shafts, wells, cesspits, manholes and thelike including strutting, shoring and packing cavities (wherever required)etc. complete. (Measurements to be taken of the face area timbered).Depth exceeding 1.5 m but not exceeding 3 m (2.17.2-AR13)",SQM,1.00,2.17.2,,,,
14,3013495,"Close timbering in case of shafts, wells, cesspits, manholes and thelike including strutting, shoring and packing cavities (wherever required)etc. complete. (Measurements to be taken of the face area timbered).Depth exceeding 3 m but not exceeding 4.5 m (2.17.3-AR14)",SQM,1.00,2.17.3,,,,
15,4000548,"Filling available excavated earth (excluding rock) in trenches plinth, sides of foundations etc. in layers not exceeding 20 cm in depth : consolidating each deposited layer by ramming and watering, lead upto 50 m and lift upto 1.5 m (2.25-AR15)",CUM,1.00,2.25,,,,
16,3013496,Extra for every additional lift of 1.5 m or part thereof in - All kinds of soil. (2.26.1-AR16),CUM (DSR 2012),1.00,2.26.1,,,,
17,4000545,"Supplying and filling in plinth with Jamuna sand under floors including, watering, ramming  consolidating and dressing complete.(2.27-AR17)",CUM,1.00,2.27,,,,
18,4000547,"Surface dressing of the ground including removing vegetation and in-equalities not exceeding 15 cm deep  and disposal of rubbish, lead upto  50 m and lift  upto  1.5 m : All kinds of soil.(2.28.1-AR18)",SQM,1.00,2.28.1,,,,
19,4000541,"Clearing jungle including uprooting of rank vegetation, grass, brush wood, trees and saplings of girth upto 30 cm measured at a height of 1 m above ground level and removal of rubbish upto a distance of 50 m outside the periphery of the area cleared. (2.31-AR19)",SQM,1.00,2.31,,,,
20,4000487,Providing and laying in position cement concrete of specified grade excluding the cost of centring and shuttering - All work upto plinth level-1:1.5:3 (1 Cement : 1.5 coarse sand : 3 graded stone aggregate 20 mm nominal size) (4.1.2-AR20),CUM,1.00,4.1.2,,,,
21,4000488,Providing and laying in position cement concrete of specified grade excluding the cost of centring and shuttering- All work upto plinth level 1:2:4 (1 Cement : 2 Coarse Sand : 4 Graded stone agg. 20 mm nominal size) (4.1.3-AR21),CUM,1.00,4.1.3,,,,
22,4000489,Providing and laying in position cement concrete of specified grade excluding the cost of centring and shuttering- All work upto plinth level 1:4:8 (1 Cement : 4 Coarse Sand : 8 Graded stone agg. 40 mm nominal size) (4.1.8-AR22),CUM,1.00,4.1.8,,,,
23,4000490,Providing and laying in position cement concrete of specified grade excluding the cost of centring and shuttering- All work upto plinth level 1:5:10 (1 Cement :5 Coarse Sand :10 Graded stone agg. 40 mm nominal size) (4.1.10-AR23),CUM,1.00,4.1.10,,,,
24,4000491,"Providing and laying cement concrete in retaining walls, return walls, walls (any thickness) including attached pilasters, columns, piers, abutments, pillars, posts, struts,  buttresses, string or lacing courses, parapets, coping, bed blocks, anchor blocks, plain window sills, fillets, sunken floor etc. upto floor five level, excluding the cost of centring, shuttering and finishing : 1:2:4 (1 Cement : 2 coarse sand : 4 graded stone aggregate 20 mm nominal size) (4.2.3-AR24)",CUM,1.00,4.2.3,,,,
25,4000493,Providing and laying damp-proof course 40 mm thick with cement concrete 1:2:4 (1 Cement : 2 coarse sand : 4 graded stone aggregate 12.5 mm nominal size).(4.10-AR25),SQM,1.00,4.10,,,,
